title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
Zapee Status,com.vstatus.premium,https://play.google.com/store/apps/details?id=com.vstatus.premium,https://play-lh.googleusercontent.com/CVDdZB5Rv_aqz_kTqfjLZO0YXs_KBZ4IweBm9AVOQ3a585M5ieUUpPKC0Jj4scQZ_g,Zapee,Zapee,FREE,undefined,0,true,"Watch videos, post videos, and share videos with your friends.",4.5,4.541283
YouTube Music - Stream Songs & Music Videos,com.google.android.apps.youtube.music,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music,https://play-lh.googleusercontent.com/GnYnNfKBr2nysHBYgYRCQtcv_RRNN0Sosn47F5ArKJu89DMR3_jHRAazoIVsPUoaMg,Google LLC,5700313618786177705,FREE,undefined,0,true,The world of music dedicated to you,4.1,4.074788
Light cleaner,cleaner2021.optimization.acceleration,https://play.google.com/store/apps/details?id=cleaner2021.optimization.acceleration,https://play-lh.googleusercontent.com/aftUITWLqUoCexeiLFTuGwk4h66EN3JS4wZAFXJEsAsRpGdKb9AT8pbZTOWoKGYlRSQ,APP labs co,8228013028448331240,FREE,undefined,0,true,Lite android cleaner. Speeds up and cleans your phone.,3.7,3.6893203
"Discord - Talk, Video Chat & Hang Out with Friends",com.discord,https://play.google.com/store/apps/details?id=com.discord,https://play-lh.googleusercontent.com/_4zBNFjA8S9yjNB_ONwqBvxTvyXYdC7Nh1jYZ2x6YEcldBr2fyijdjM2J5EoVdTpnkA,Discord Inc.,Discord+Inc.,FREE,undefined,0,true,"Your place to talk, video chat, and hang out with friends and communities.",4.5,4.481754
Binance: Bitcoin Marketplace & Crypto Wallet,com.binance.dev,https://play.google.com/store/apps/details?id=com.binance.dev,https://play-lh.googleusercontent.com/YaJVsuv4cxsegY_VYcsWpKY-4nt7g2il77XVWZrm_z9Knd3PJAGaBlBuQyahlm85aic,Binance Inc.,Binance+Inc.,FREE,undefined,0,true,"Crypto, Bitcoin, NFTs.  It's all here at the world's largest exchange, Binance.",3.8,3.7933333
banco next,br.com.bradesco.next,https://play.google.com/store/apps/details?id=br.com.bradesco.next,https://play-lh.googleusercontent.com/H10aAKl4vs91sow3buRJk85cEN58T7onVyNqVQPnWnEpRQmelArjGLdUx05imRQePjCD,next - faz acontecer,next+-+faz+acontecer,FREE,undefined,0,true,The next is a digital database with everything and can still be In Range. Free yourself;),4.1,4.1212363
MEU TIM,br.com.timbrasil.meutim,https://play.google.com/store/apps/details?id=br.com.timbrasil.meutim,https://play-lh.googleusercontent.com/U_NE4YtUoSzUU-wa7spbP0vB9VqrVxSrcjodyvGo-EsMDo4Pr-hLmutRuVXNz4V_eg,TIM S.A.,TIM+S.A.,FREE,undefined,0,true,"See information about your account, credits, activate promotions and more!",3.2,3.2289617
Santander Way,br.com.santander.way,https://play.google.com/store/apps/details?id=br.com.santander.way,https://play-lh.googleusercontent.com/kEtHvCwpiYQQrCPifwMJFjGnrw_mX6Bt-SeWNwsMNjQb-EfiVCoUZnZW0luUoJBFaeA,Banco Santander (Brasil) S.A.,Banco+Santander+(Brasil)+S.A.,FREE,undefined,0,true,Follow in real time all the details of your Santander cards with the Way.,4.4,4.382066
Music Player & MP3 Player - Lark Player,com.dywx.larkplayer,https://play.google.com/store/apps/details?id=com.dywx.larkplayer,https://play-lh.googleusercontent.com/WfnBxlXCNhKPaBBL6VasmJw2YTURoGDFxKlJmyGdz_0b49z2nJeiaN3iCXwbcEObvzg,Lark Player Studio,Lark+Player+Studio,FREE,undefined,0,true,"💗  A music app chosen by 100M+ users, best music player &amp; MP3 player. 💗",4.7,4.6541095
BTG+,com.btg.pactual.banking,https://play.google.com/store/apps/details?id=com.btg.pactual.banking,https://play-lh.googleusercontent.com/1FgarQiH4gR1PmtVZiqlIAei0x_7tUCeq41MJKwcSYjQGq25AeR1xMuwq-DQguve6g,Banco BTG Pactual S.A.,Banco+BTG+Pactual+S.A.,FREE,undefined,0,true,We gave a BTG in your financial experience,4.6,4.6329703
Twitch: Livestream Multiplayer Games & Esports,tv.twitch.android.app,https://play.google.com/store/apps/details?id=tv.twitch.android.app,https://play-lh.googleusercontent.com/QLQzL-MXtxKEDlbhrQCDw-REiDsA9glUH4m16syfar_KVLRXlzOhN7tmAceiPerv4Jg,"Twitch Interactive, Inc.","Twitch+Interactive,+Inc.",FREE,undefined,0,true,"Multiplayer Gaming, Live Esports &amp; Gamer Chat: Watch Fortnite, Minecraft &amp; PUBG",4.7,4.6681895
"Biugo-video maker, photo video maker, video editor",com.yy.biugo.lite,https://play.google.com/store/apps/details?id=com.yy.biugo.lite,https://play-lh.googleusercontent.com/BXa3zX8U15FgXGksP-_ns0WOsKxHS8GN5aRCv6IbWj07gsF4FzbN_G1OORBguxxbYQ4,biugo,biugo,FREE,undefined,0,true,"🏆Biugo-mv master video maker, boo video maker, video editor, snack video maker.",4.4,4.43802
ClipClaps - Reward your interest,com.sanhe.clipclaps,https://play.google.com/store/apps/details?id=com.sanhe.clipclaps,https://play-lh.googleusercontent.com/MoZw2SoDTDZNlGYcH_ljvIsiWtcvJqChgdng5sWo73aXDKnptav9IE8hC0yHG1si0A2i,GRAND CHANNEL ENTERTAINMENT LIMITED,GRAND+CHANNEL+ENTERTAINMENT+LIMITED,FREE,undefined,0,true,Get rewarded for watching your favorite videos,4.3,4.2758427
ZArchiver,ru.zdevs.zarchiver,https://play.google.com/store/apps/details?id=ru.zdevs.zarchiver,https://play-lh.googleusercontent.com/D1POO3HtYVgSW65yv3JLMrr8F7L9RcYUfEw_ug3BhMhMgN0b2fZ414cYkmSwVRr737aY,ZDevs,ZDevs,FREE,undefined,0,true,The best 7zip app!,4.6,4.591687
Consulta Auxílio 2021,com.brasilapps.consultaauxilio,https://play.google.com/store/apps/details?id=com.brasilapps.consultaauxilio,https://play-lh.googleusercontent.com/f7W_R8ljbNjTW5OFAU33I1TtMz7RlrjHDw18wZLbpLg0ssHVpuCZpttTj0Akw-RnJw,Brasilapps,Brasilapps,FREE,undefined,0,true,Consultation of Emergency Aid 2021 and Schedule of installments,3.5,3.5192308
"Smart Security - Phone Cleaner, Booster, Defender",com.smartsecurityxzt,https://play.google.com/store/apps/details?id=com.smartsecurityxzt,https://play-lh.googleusercontent.com/AVWBHPPRImi0jFqVVPtmh-VTQMH07lfqDcG1hAaETI4X22NjSbTlor_-uOdn8G56rZeE,Sourcery,Sourcery,FREE,undefined,0,true,Why do our users believe that Smart Security is an ALL-IMPORTANT app?,4.7,4.71248
"Méliuz: Cashback, Cartão de Crédito e Cupons",br.com.meliuz,https://play.google.com/store/apps/details?id=br.com.meliuz,https://play-lh.googleusercontent.com/tqLx8NVKUHTqo3N8nQxth8PbQjSNrED_3BRx5rb6LxHQrBFdvve5kkIjutMJgxDXReU,Méliuz,M%C3%A9liuz,FREE,undefined,0,true,Earn cashback at hundreds of online stores and also with our credit card,4.3,4.3316956
Story Saver for Instagram: Insta Download & Repost,com.lyrebirdstudio.storydownloader,https://play.google.com/store/apps/details?id=com.lyrebirdstudio.storydownloader,https://play-lh.googleusercontent.com/7cuzSyU5rR29UWDW40Uy6EzD_pperOTVPh6Lcq3-X7nZT9HUMgvd6m0LvxtZ35nRk3N8,Lyrebird Studios,Lyrebird+Studios,FREE,undefined,0,true,Best Story Saver for Instagram Video Downloader: Insta Download &amp; Story Reposter,4.1,4.131356
"PREQUEL: Effects, Filters & Editing",com.prequel.app,https://play.google.com/store/apps/details?id=com.prequel.app,https://play-lh.googleusercontent.com/36YDpLl60mfXJkYNx6wXIcqqcMlC5B2Shz3wi9tXO2IZ5UvN5EU8gOfWFI1Nxn8CvKTe,Prequel Inc.,6562506502134777861,FREE,undefined,0,true,"Aesthetic video &amp; photo editor with unique presets: VHS, Disco, Miami and more.",3.5,3.4864864
YouTube Kids,com.google.android.apps.youtube.kids,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.kids,https://play-lh.googleusercontent.com/S4wylkvt2jz16hnG9IG0pAZosbB82nWWy8P-rQkb54uH-SCVd5L2j7z7x1Vz5pZvIRc,Google LLC,5700313618786177705,FREE,undefined,0,true,Encourage kids to discover the world with a suite of parental controls,4.4,4.381107
Snapchat,com.snapchat.android,https://play.google.com/store/apps/details?id=com.snapchat.android,https://play-lh.googleusercontent.com/KxeSAjPTKliCErbivNiXrd6cTwfbqUJcbSRPe_IBVK_YmwckfMRS1VIHz-5cgT09yMo,Snap Inc,Snap+Inc,FREE,undefined,0,true,Share the moment!,4.4,4.4428267
"Pix, internet banking e conta | Banco Original",br.com.original.bank,https://play.google.com/store/apps/details?id=br.com.original.bank,https://play-lh.googleusercontent.com/iA4hVlqZQHtr79NIRbpyBkezQFzL4GztUuDIovXxmdkDnuKMYyqVYSR8E__gezgcCbk,Banco Original,Banco+Original,FREE,undefined,0,true,Digital bank with cashback in credit and fixed income investments,3.5,3.501306
IQ Option – Online Investing Platform,com.iqoption,https://play.google.com/store/apps/details?id=com.iqoption,https://play-lh.googleusercontent.com/9vYKx4oKSp219brQhwK7xSpGOHoi2IFBpBLUAdWymMlFppOINGkl7n7aFeLlsHfIP-w,IQ Option,IQ+Option,FREE,undefined,0,true,"Day trading, buy and sell stocks. View shares, make your own portfolio",4.1,4.1319566
Itaucard: Cartão de crédito,com.itaucard.activity,https://play.google.com/store/apps/details?id=com.itaucard.activity,https://play-lh.googleusercontent.com/vTyIpS6vdo-fABcbrXJ9EmWUHyPr1r0O9Go2u1EWEHsRn_WzJmRiMPcrzVw55yNGFOVk,Itaú Unibanco S. A.,6670232843082341199,FREE,undefined,0,true,"Track purchases, limit and split credit card bills directly in the app",4.1,4.1069684
Zoom - Ofertas e Descontos para Compras Online,com.zoom.zoomandroid,https://play.google.com/store/apps/details?id=com.zoom.zoomandroid,https://play-lh.googleusercontent.com/QPk3C0Acgp8yFzG6pjbstf48UblCsOV5FPYEkkRkCDc-MuTLNK86T93di2syC8D-vms,Mosaico Negócios de Internet S.A,Mosaico+Neg%C3%B3cios+de+Internet+S.A,FREE,undefined,0,true,"Compare prices, find the best deal and make your purchases",4.6,4.598069
PIX - Guia Prático,com.technews.pixguiapratico,https://play.google.com/store/apps/details?id=com.technews.pixguiapratico,https://play-lh.googleusercontent.com/uMZzY2gC9AlYAvGhtblWNzQqRWxvPA7K5oHdYEwVhR5_CppgGoSD2ItHZBABXIxvWBLx,Tech News,Tech+News,FREE,undefined,0,true,Discover the new means of instant payments that will revolutionize the market.,3.8,3.8137255
"Badoo — The Dating App to Chat, Date & Meet People",com.badoo.mobile,https://play.google.com/store/apps/details?id=com.badoo.mobile,https://play-lh.googleusercontent.com/n-L_egXxB8eY4EQxl3ymo-ZyV-fVqMJqsiYA9hXR1-ZMcFcMki7Hbst4U3ILW9AnHNM,Badoo,5884062829898474398,FREE,undefined,0,true,"Enjoy meeting new people near you, join the best free online dating app today.",4.0,4.0477047
Free WiFi Passwords & Hotspots by Instabridge,com.instabridge.android,https://play.google.com/store/apps/details?id=com.instabridge.android,https://play-lh.googleusercontent.com/lXzm0BToiKcb6lx85TWcy3ANUSNlWLjzuKdIYHag27tgzWs3zRWNrbhttZxcLtbHJQrX,Degoo Backup AB - Cloud,5766113960745724007,FREE,undefined,0,true,Install the app → Auto-connect to WiFi → Surf the Internet for free!,4.2,4.1556754
Avast Antivirus – Mobile Security & Virus Cleaner,com.avast.android.mobilesecurity,https://play.google.com/store/apps/details?id=com.avast.android.mobilesecurity,https://play-lh.googleusercontent.com/L2iE8omFL9w4v5PEsO15t1MpG-lOI3PqJ5rX469U-Hv75K7j6BNokSr4svX8ZQmPS3I,Avast Software,5078220335056375043,FREE,undefined,0,true,"Android Mobile Security with Free Antivirus, Virus cleaner and Phone cleaner",4.7,4.715957
"ToonApp: AI Cartoon Photo Editor, Cartoon Yourself",com.lyrebirdstudio.cartoon,https://play.google.com/store/apps/details?id=com.lyrebirdstudio.cartoon,https://play-lh.googleusercontent.com/JOhBYT5XAVM9Nyt4etxsSbvTgy2mu6KfpUN6YVVQyQXIZ68sfiu4sVU1Nq-iO2qneeE,Lyrebird Studios,Lyrebird+Studios,FREE,undefined,0,true,"Cartoon photo editor with fun cartoon face filters. Cartoon Maker free, toon me!",4.6,4.562513
Universal TV Remote Control,codematics.universal.tv.remote.control,https://play.google.com/store/apps/details?id=codematics.universal.tv.remote.control,https://play-lh.googleusercontent.com/rME4EJyOj1zBMSYKKSH142ZxiBJcj6ktPWxrJ1R-OzjGKjcpPZIm8r-B3CQtpbeumDk,CodeMatics Media Solutions,4664062132977048345,FREE,undefined,0,true,The Top TV Remote App for Smart TVs and IR TVs,4.2,4.1924562
Baixar músicas MP3 Grátis - TubePlay Mp3 Download,com.soundmax.tubeplayermp3.downloadfreemusic,https://play.google.com/store/apps/details?id=com.soundmax.tubeplayermp3.downloadfreemusic,https://play-lh.googleusercontent.com/Y6c8nNlNU1i1hsPDWJRHvyccTas-achRKQ0zWshi9kKhNfP_NwFzBsRD-oGs84ocEiEM,Soundmax Dev,7176940439673770906,FREE,undefined,0,true,Reproduzir e baixar música MP3 grátis - Tube Player MP3 downloader,4.5,4.4761906
"Video Recorder,Screen Recorder-Vidma Recorder Lite",vidma.screenrecorder.videorecorder.videoeditor.lite,https://play.google.com/store/apps/details?id=vidma.screenrecorder.videorecorder.videoeditor.lite,https://play-lh.googleusercontent.com/hTirmL1A-fuPYWODs7rkuBUvT7J9b5-DRrOipBUwdACNX5MuBO7ubTnpiJECd84AMnk,Vidma Video Studio,Vidma+Video+Studio,FREE,undefined,0,true,FREE screen recorder &amp; Simple recording app to record screen and HD live video!,4.7,4.746762
"One Security - Antivirus, Cleaner, Booster",com.cleanteam.onesecurity,https://play.google.com/store/apps/details?id=com.cleanteam.onesecurity,https://play-lh.googleusercontent.com/p3NumlYaiEhMAoxPwGLrDbvg9wjTJJWWSMPQByXeQymJf8u1wvNpIWBx9NZ46X2qy9w,One Dot Moblie Limited,8817236383700323055,FREE,undefined,0,true,"Malware protection, Junk file &amp; Antivirus clean, Mobile phone performance boost",4.7,4.691663
WPSApp,com.themausoft.wpsapp,https://play.google.com/store/apps/details?id=com.themausoft.wpsapp,https://play-lh.googleusercontent.com/EPCZElozBX6JUjkDOLmTw5VHZce0RIE8Nk-LSPVOJkcfHHyuhTsFrf1XXPBZT_fnnH4,TheMauSoft,TheMauSoft,FREE,undefined,0,true,Check your WiFi's network security. Any intruders? WPS protocol,4.2,4.2293296
"Dafiti - Promoção de roupas, sapatos, home e decor",br.com.dafiti,https://play.google.com/store/apps/details?id=br.com.dafiti,https://play-lh.googleusercontent.com/oKJmywken2GtkjM8DxpgfbWmdsv83a0FA7whzBBYtwjSmJcfdqozaekOva8VUwyYOt5V,GFG Comércio Digital,6538603038516152786,FREE,undefined,0,true,Sale with the best promotions for clothes and shoes. Take advantage of the offers!,4.3,4.30989
ZEPETO,me.zepeto.main,https://play.google.com/store/apps/details?id=me.zepeto.main,https://play-lh.googleusercontent.com/tIeI_EWZFBCoHmV50hngRaWOqKfoERUNlROYjDuiDpc7yv_S-6_CpyNWIbN6C-aBAVtq,Naver Z Corporation,Naver+Z+Corporation,FREE,undefined,0,true,Another me in another universe,3.6,3.5501199
"C&A: Loja de Roupas Online e Sapatos, Promoções",br.com.cea.appb2c,https://play.google.com/store/apps/details?id=br.com.cea.appb2c,https://play-lh.googleusercontent.com/_atrdciO18d5zGrz-TITvI2_pfhGv_41utPz888oq-amRh2lAbV4P4QDqRo9Q6C-sQ,C&A Brasil,C%26A+Brasil,FREE,undefined,0,true,"BBB&#39;s official look is at C&amp;A! Choose your jeans, pants and more clothes online",3.5,3.5160384
Document to PDF Converter - DOC / DOCX to PDF,com.pdf.suite.app.word2pdfconverter,https://play.google.com/store/apps/details?id=com.pdf.suite.app.word2pdfconverter,https://play-lh.googleusercontent.com/PClG4TNm15a0QIfp9aMoHxc9XiBqLsicQVJSnIuCMOqs7rNtRfHxBrtITJRfzKfyPPxg,Pequi Apps,Pequi+Apps,FREE,undefined,0,true,Convert Documents to PDF quickly! DOC / DOCX to PDF converter.,4.5,4.5347986
Narrator's Voice,br.com.escolhatecnologia.vozdonarrador,https://play.google.com/store/apps/details?id=br.com.escolhatecnologia.vozdonarrador,https://play-lh.googleusercontent.com/wI38p471XkigZQkINRMfhp8eGmCINlxA0KHlEkWHQ9pVa21seefc-SNraWYUc7ODUgMA,Escolha Tecnologia,5978392300521042263,FREE,undefined,0,true,"Speak with many voices in many languages, easily convert text to speech (TTS)",4.6,4.612578
Bradesco Cartões,br.com.bradesco.cartoes,https://play.google.com/store/apps/details?id=br.com.bradesco.cartoes,https://play-lh.googleusercontent.com/cEjvQKRG5kawzVDwAuWCZFMREOrAIQLbnlZDw5hFveG4SlTgDySpP7EmRWpHv0lkmA,Banco Bradesco SA,Banco+Bradesco+SA,FREE,undefined,0,true,Welcome to Bradesco Cards app!,4.1,4.0616674
Rave – Watch Party,com.wemesh.android,https://play.google.com/store/apps/details?id=com.wemesh.android,https://play-lh.googleusercontent.com/JilXL2y0BBWYbqOQ_BgrxB-G2830hr5ZuOylAPNuf_IlkZkERQBow7hrCBCaxPjo7Qhx,Rave Inc.,Rave+Inc.,FREE,undefined,0,true,"Enjoy YouTube, watch Netflix and listen to music with your friends!",4.4,4.4130654
Wombo: Make your selfies sing,com.womboai.wombo,https://play.google.com/store/apps/details?id=com.womboai.wombo,https://play-lh.googleusercontent.com/io9cXsTKovnbl3Si9ME_R4PTleDy0MJxIdPqhlsDRqcPud9ah1Xsc62q5B9stCM9bow,Wombo Studios Inc,7458759891417339833,FREE,undefined,0,true,Create hilarious lip sync videos with a single selfie.,4.1,4.1310725
CamScanner - Scanner to scan PDF,com.intsig.camscanner,https://play.google.com/store/apps/details?id=com.intsig.camscanner,https://play-lh.googleusercontent.com/eWYNxjXiub6-HqtwoS2d4bl-NkqcKgOHansSnXXqje8-K9XLRwflOgEYwSzPMicdAA,"INTSIG Information Co., Ltd.","INTSIG+Information+Co.,+Ltd.",FREE,undefined,0,true,"Scan paperwork into PDF/JPG, generate your own e-signature and send fax or email",4.7,4.6672125
Meu Alelo,air.br.com.alelo.mobile.android,https://play.google.com/store/apps/details?id=air.br.com.alelo.mobile.android,https://play-lh.googleusercontent.com/OuOelGvGBD9k3ubXIR9DWvE9mvysOB9wPG6SYQRlh3L0k00gz5Ejlskh-ZoeHFtBmL8,Alelo,Alelo,FREE,undefined,0,true,Official App of the allele for balance inquiry / statement and self-service.,4.3,4.320447
Cashzine: Buzz Interact & Get Reward Daily,com.sky.sea.cashzine,https://play.google.com/store/apps/details?id=com.sky.sea.cashzine,https://play-lh.googleusercontent.com/F8PwkvD_4lobHGGCWAVscntNF8uCegUCPyfkmW6-BJgJoI7ciWxpnmqBZHfr7ENz6PFI,Points Culture,Points+Culture,FREE,undefined,0,true,Cashzine is a lifestyle app that generates daily buzz to engage with friends.,4.1,4.0878763
Personal Stickers - Let photo to personal sticker.,com.memeandsticker.personal,https://play.google.com/store/apps/details?id=com.memeandsticker.personal,https://play-lh.googleusercontent.com/vnaukrUrgpWCpEGQSoXNYFKsOuOnP8Zmq2Vvbg973EXgDNJdJY_PNNQBJDNhEwfKhgk,Personal Sticker Meme Developer,Personal+Sticker+Meme+Developer,FREE,undefined,0,true,Personal Stickers Maker - 5000+ HD stickers and funny memes,4.4,4.3690476
ibis Paint X,jp.ne.ibis.ibispaintx.app,https://play.google.com/store/apps/details?id=jp.ne.ibis.ibispaintx.app,https://play-lh.googleusercontent.com/QcfhlXm32JDnj3WM2-TSL78ad99x4slovX4OzCSLSPU3uRN-mGXpKyM_yeXiewhz0Lk,ibis inc.,ibis+inc.,FREE,undefined,0,true,"Share the joy of painting with ibis Paint X!
Drawing anime and manga art.",4.5,4.4648714
Remini - Photo Enhancer,com.bigwinepot.nwdn.international,https://play.google.com/store/apps/details?id=com.bigwinepot.nwdn.international,https://play-lh.googleusercontent.com/e8RmAyXaKy5plJs7oV3p6vx2C8c5jonDsefLKvAG3w7YUB7VQYRJ2jFM4E0PBuZiQQw,Remini,Remini,FREE,undefined,0,true,"Enhance old, blurred, damaged, scratched photos and videos to HD",4.7,4.7092032
